python3 MicroGan.py 
Loading parameters MicroGanV2
WARNING:root:Setting up a new session...
Starting Training Loop...
Save model iters 0
[35/1000][2/5]	Loss_D: 0.0015	Loss_G: 10.1116	D(x): 0.9992	D(G(z)): 0.0007 / 0.0001
[35/1000][3/5]	Loss_D: 0.0016	Loss_G: 9.8094	D(x): 0.9990	D(G(z)): 0.0006 / 0.0001
[35/1000][4/5]	Loss_D: 0.0015	Loss_G: 9.6163	D(x): 0.9992	D(G(z)): 0.0007 / 0.0001
[36/1000][1/5]	Loss_D: 0.0016	Loss_G: 9.9998	D(x): 0.9989	D(G(z)): 0.0005 / 0.0001
[36/1000][2/5]	Loss_D: 0.0017	Loss_G: 9.6869	D(x): 0.9989	D(G(z)): 0.0007 / 0.0001
[36/1000][3/5]	Loss_D: 0.0016	Loss_G: 10.0615	D(x): 0.9993	D(G(z)): 0.0009 / 0.0001
[36/1000][4/5]	Loss_D: 0.0016	Loss_G: 10.1888	D(x): 0.9991	D(G(z)): 0.0007 / 0.0001
[37/1000][1/5]	Loss_D: 0.0014	Loss_G: 9.9915	D(x): 0.9993	D(G(z)): 0.0006 / 0.0001
[37/1000][2/5]	Loss_D: 0.0022	Loss_G: 9.2267	D(x): 0.9983	D(G(z)): 0.0006 / 0.0002
[37/1000][3/5]	Loss_D: 0.0019	Loss_G: 10.3184	D(x): 0.9995	D(G(z)): 0.0013 / 0.0001
[37/1000][4/5]	Loss_D: 0.0009	Loss_G: 10.4897	D(x): 0.9995	D(G(z)): 0.0004 / 0.0001
[38/1000][1/5]	Loss_D: 0.0013	Loss_G: 9.5211	D(x): 0.9993	D(G(z)): 0.0006 / 0.0001
[38/1000][2/5]	Loss_D: 0.0016	Loss_G: 9.7585	D(x): 0.9993	D(G(z)): 0.0009 / 0.0001
[38/1000][3/5]	Loss_D: 0.0013	Loss_G: 9.8636	D(x): 0.9993	D(G(z)): 0.0007 / 0.0001
[38/1000][4/5]	Loss_D: 0.0014	Loss_G: 10.0096	D(x): 0.9993	D(G(z)): 0.0007 / 0.0001
[39/1000][1/5]	Loss_D: 0.0015	Loss_G: 9.9340	D(x): 0.9993	D(G(z)): 0.0008 / 0.0001
[39/1000][2/5]	Loss_D: 0.0014	Loss_G: 9.9951	D(x): 0.9993	D(G(z)): 0.0007 / 0.0001
[39/1000][3/5]	Loss_D: 0.0016	Loss_G: 10.0611	D(x): 0.9991	D(G(z)): 0.0007 / 0.0001
[39/1000][4/5]	Loss_D: 0.0019	Loss_G: 9.6466	D(x): 0.9987	D(G(z)): 0.0006 / 0.0002
[40/1000][1/5]	Loss_D: 0.0018	Loss_G: 9.5520	D(x): 0.9987	D(G(z)): 0.0005 / 0.0001
[40/1000][2/5]	Loss_D: 0.0014	Loss_G: 9.8073	D(x): 0.9994	D(G(z)): 0.0008 / 0.0001
[40/1000][3/5]	Loss_D: 0.0011	Loss_G: 10.5587	D(x): 0.9997	D(G(z)): 0.0008 / 0.0001
[40/1000][4/5]	Loss_D: 0.0013	Loss_G: 10.0055	D(x): 0.9990	D(G(z)): 0.0003 / 0.0001
[41/1000][1/5]	Loss_D: 0.0016	Loss_G: 10.4969	D(x): 0.9993	D(G(z)): 0.0008 / 0.0001
[41/1000][2/5]	Loss_D: 0.0030	Loss_G: 8.5991	D(x): 0.9974	D(G(z)): 0.0004 / 0.0004
[41/1000][3/5]	Loss_D: 0.0030	Loss_G: 12.6197	D(x): 0.9998	D(G(z)): 0.0028 / 0.0000
[41/1000][4/5]	Loss_D: 0.0009	Loss_G: 13.2467	D(x): 0.9992	D(G(z)): 0.0000 / 0.0000
[42/1000][1/5]	Loss_D: 0.0006	Loss_G: 10.1898	D(x): 0.9995	D(G(z)): 0.0001 / 0.0001
[42/1000][2/5]	Loss_D: 0.0008	Loss_G: 9.4254	D(x): 0.9997	D(G(z)): 0.0005 / 0.0002
[42/1000][3/5]	Loss_D: 0.0014	Loss_G: 10.1739	D(x): 0.9997	D(G(z)): 0.0010 / 0.0001
[42/1000][4/5]	Loss_D: 0.0010	Loss_G: 10.7998	D(x): 0.9996	D(G(z)): 0.0006 / 0.0001
[43/1000][1/5]	Loss_D: 0.0016	Loss_G: 9.3402	D(x): 0.9988	D(G(z)): 0.0004 / 0.0002
[43/1000][2/5]	Loss_D: 0.0021	Loss_G: 11.0610	D(x): 0.9995	D(G(z)): 0.0015 / 0.0000
[43/1000][3/5]	Loss_D: 0.0008	Loss_G: 11.0048	D(x): 0.9994	D(G(z)): 0.0002 / 0.0000
[43/1000][4/5]	Loss_D: 0.0012	Loss_G: 9.7953	D(x): 0.9990	D(G(z)): 0.0002 / 0.0001
[44/1000][1/5]	Loss_D: 0.0020	Loss_G: 10.1692	D(x): 0.9991	D(G(z)): 0.0010 / 0.0001
[44/1000][2/5]	Loss_D: 0.0016	Loss_G: 9.9996	D(x): 0.9990	D(G(z)): 0.0005 / 0.0001
[44/1000][3/5]	Loss_D: 0.0011	Loss_G: 9.9013	D(x): 0.9995	D(G(z)): 0.0005 / 0.0001
[44/1000][4/5]	Loss_D: 0.0008	Loss_G: 10.2012	D(x): 0.9997	D(G(z)): 0.0006 / 0.0001
[45/1000][1/5]	Loss_D: 0.0015	Loss_G: 9.7476	D(x): 0.9992	D(G(z)): 0.0007 / 0.0001
[45/1000][2/5]	Loss_D: 0.0015	Loss_G: 10.1119	D(x): 0.9993	D(G(z)): 0.0008 / 0.0001
[45/1000][3/5]	Loss_D: 0.0011	Loss_G: 10.2409	D(x): 0.9994	D(G(z)): 0.0005 / 0.0001
[45/1000][4/5]	Loss_D: 0.0009	Loss_G: 9.9631	D(x): 0.9995	D(G(z)): 0.0004 / 0.0001
[46/1000][1/5]	Loss_D: 0.0018	Loss_G: 9.8335	D(x): 0.9991	D(G(z)): 0.0009 / 0.0001
[46/1000][2/5]	Loss_D: 0.0013	Loss_G: 10.2839	D(x): 0.9994	D(G(z)): 0.0006 / 0.0001
[46/1000][3/5]	Loss_D: 0.0009	Loss_G: 10.0831	D(x): 0.9994	D(G(z)): 0.0004 / 0.0001
[46/1000][4/5]	Loss_D: 0.0010	Loss_G: 9.8821	D(x): 0.9995	D(G(z)): 0.0004 / 0.0001
[47/1000][1/5]	Loss_D: 0.0014	Loss_G: 9.6257	D(x): 0.9991	D(G(z)): 0.0005 / 0.0001
